Type,Country,Quantity (kg),Value (US$),Year
Uvas frescas,Não consta na tabela,,,1970
Uvas frescas,Outros,,,1970
Uvas passas,Afeganistão,,,1970
Uvas passas,África do Sul,,,1970
Uvas passas,"Alemanha, República Democrática",,,1970
Uvas passas,Arábia Saudita,,,1970
Uvas passas,Argentina,1530058.0,845068.0,1970
Uvas passas,Austrália,,,1970
Uvas passas,Bélgica,,,1970
Uvas passas,Chile,4000.0,1040.0,1970
Uvas passas,China,,,1970
Uvas passas,China Continental,,,1970
Uvas passas,Cingapura,,,1970
Uvas passas,Costa Rica,,,1970
Uvas passas,Emirados,,,1970
Uvas passas,Egito,,,1970
Uvas passas,Espanha,20000.0,9584.0,1970
Uvas passas,Estados Unidos,415210.0,305494.0,1970
Uvas passas,França,,,1970
Uvas passas,Grécia,178475.0,56586.0,1970
Uvas passas,Guiana Britânica,334.0,202.0,1970
Uvas passas,Índia,,,1970
Uvas passas,Irã,,,1970
Uvas passas,Itália,33600.0,11396.0,1970
Uvas passas,Japão,,,1970
Uvas passas,México,170172.0,100310.0,1970
Uvas passas,Países Baixos,104.0,91.0,1970
Uvas passas,Paraguai,,,1970
Uvas passas,Peru,,,1970
Uvas passas,Portugal,,,1970
Uvas passas,Reino Unido,39.0,29.0,1970
Uvas passas,Suécia,12000.0,3866.0,1970
Uvas passas,Turquia,124832.0,41962.0,1970
Uvas passas,Uruguai,,,1970
Uvas passas,Uzbequistão,,,1970
Uvas passas,Venezuela,,,1970
Uvas passas,Não consta na tabela,,,1970
Uvas passas,Outros,,,1970
Suco de uva,Africa do Sul,,,1970
Suco de uva,Alemanha,,,1970
Suco de uva,Argentina,,,1970
Suco de uva,Austria,,,1970
Suco de uva,Canadá,,,1970
Suco de uva,"Coreia do Sul, República",,,1970
Suco de uva,"Coreia do Norte, República",,,1970
Suco de uva,Chile,,,1970
Suco de uva,China,,,1970
Suco de uva,Dinamarca,,,1970
Suco de uva,Espanha,,,1970
Suco de uva,Estados Unidos,,,1970
Suco de uva,França,,,1970
Suco de uva,Guiana,,,1970
Suco de uva,Israel,,,1970
Suco de uva,itália,,,1970
Suco de uva,Japão,,,1970
Suco de uva,Líbano,,,1970
Suco de uva,México,,,1970
Suco de uva,Países Baixos,,,1970
Suco de uva,Panamá,,,1970
Suco de uva,Peru,,,1970
Suco de uva,Portugal,,,1970
Suco de uva,Reino Unido,,,1970
Suco de uva,Taiwan,,,1970
Suco de uva,Turquia,,,1970
Suco de uva,Uruguai,,,1970
Suco de uva,Venezuela,,,1970
Suco de uva,Outros,,,1970
Vinhos de mesa,Africa do Sul,,,1971
